English,Turkish,EnSample,TrSample
Abandon,Terk etmek,He abandoned his car on the road.,Arabasını yolda terk etti.
Ability,Yetenek,She has the ability to learn fast.,Hızlı öğrenme yeteneğine sahip.
Absolute,Kesin/Mutlak,It is the absolute truth.,Bu kesin gerçektir.
Absorb,Emmek/Kavramak,Plants absorb water.,Bitkiler suyu emer.
Academic,Akademik,Academic year starts in September.,Akademik yıl Eylülde başlar.
Accent,Aksan/Şive,He has a strong French accent.,Güçlü bir Fransız aksanı var.
Acceptable,Kabul edilebilir,This behavior is not acceptable.,Bu davranış kabul edilemez.
Access,Erişim/Erişmek,I cannot access my email.,E-postama erişemiyorum.
Accommodation,Konaklama,Accommodation is expensive here.,Burada konaklama pahalıdır.
Accompany,Eşlik etmek,May I accompany you?,Size eşlik edebilir miyim?
Accomplish,Başarmak (Tamamlamak),We accomplished our mission.,Görevimizi başardık.
According to, -e göre,According to the news it will rain.,Haberlere göre yağmur yağacak.
Account,Hesap,I opened a bank account.,Bir banka hesabı açtım.
Accurate,Doğru/Tam,This watch is very accurate.,Bu saat çok doğru (gösteriyor).
Accuse,Suçlamak,Don't accuse me without proof.,Kanıt olmadan beni suçlama.
Achieve,Başarmak (Hedef),She achieved her goal.,O hedefini başardı.
Achievement,Başarı,It was a great achievement.,Bu harika bir başarıydı.
Acknowledge,Kabul etmek/Tanımak,He acknowledged his mistake.,Hatasını kabul etti.
Acquire,Edinmek/Kazanmak,He acquired a new skill.,Yeni bir beceri edindi.
Action,Eylem/Hareket,We need to take action.,Harekete geçmemiz lazım.
Active,Aktif,He plays an active role.,O aktif bir rol oynuyor.
Actual,Gerçek/Asıl,This is the actual price.,Bu asıl fiyattır.
Adapt,Uyarlamak/Uyum sağlamak,Animals adapt to nature.,Hayvanlar doğaya uyum sağlar.
Addiction,Bağımlılık,Smoking addiction is bad.,Sigara bağımlılığı kötüdür.
Additional,Ek/İlave,Do you need additional time?,Ek zamana ihtiyacın var mı?
Address,Ele almak/Adres,We need to address this problem.,Bu sorunu ele almalıyız.
Adequate,Yeterli,The food was adequate.,Yemek yeterliydi.
Adjust,Ayarlamak,Adjust the mirror.,Aynayı ayarla.
Administration,Yönetim/İdare,The school administration.,Okul yönetimi.
Admire,Hayran olmak,I admire your courage.,Cesaretine hayranım.
Admit,İtiraf etmek,He admitted stealing the money.,Parayı çaldığını itiraf etti.
Adopt,Evlat edinmek/Benimsemek,They adopted a child.,Bir çocuk evlat edindiler.
Advance,İlerlemek/Avans,Technology advances quickly.,Teknoloji hızlı ilerler.
Advantage,Avantaj,What is the advantage of this?,Bunun avantajı nedir?
Adventure,Macera,Life is an adventure.,Hayat bir maceradır.
Advertise,Reklam yapmak,They advertised the new car.,Yeni arabanın reklamını yaptılar.
Advice,Tavsiye,Take my advice.,Tavsiyemi al.
Advise,Tavsiye etmek,I advise you to stop.,Durmanı tavsiye ederim.
Affair,Mesele/İlişki,This is a private affair.,Bu özel bir mesele.
Affect,Etkilemek,Weather affects my mood.,Hava durumu ruh halimi etkiler.
Afford,Gücü yetmek (Maddi),I cannot afford this car.,Bu arabaya gücüm yetmez.
Agency,Ajans,Travel agency.,Seyahat acentesi.
Aim,Amaçlamak/Hedef,My aim is to win.,Amacım kazanmak.
Aircraft,Hava taşıtı,Military aircraft.,Askeri hava taşıtı.
Alarm,Alarm,The fire alarm rang.,Yangın alarmı çaldı.
Allow,İzin vermek,Smoking is not allowed.,Sigara içmeye izin verilmez.
Ally,Müttefik,They are our allies.,Onlar bizim müttefiklerimiz.
Alone,Yalnız,She lives alone.,O yalnız yaşıyor.
Along,Boyunca,Walk along the river.,Nehir boyunca yürü.
Alternative,Alternatif,We have no alternative.,Alternatifimiz yok.
Ambition,Hırs/Tutku,His ambition is to be rich.,Onun hırsı zengin olmaktır.
Amount,Miktar,A large amount of money.,Büyük miktarda para.
Analyze,Analiz etmek,Analyze the data.,Veriyi analiz et.
Ancient,Antik/Eski,Ancient Rome.,Antik Roma.
Anger,Öfke,Control your anger.,Öfkeni kontrol et.
Angle,Açı,Look from a different angle.,Farklı bir açıdan bak.
Anniversary,Yıl dönümü,Wedding anniversary.,Evlilik yıl dönümü.
Announce,Duyurmak,They announced the winner.,Kazananı duyurdular.
Annoy,Rahatsız etmek/Kızdırmak,Don't annoy me.,Beni kızdırma.
Annual,Yıllık,Annual meeting.,Yıllık toplantı.
Anticipate,Beklemek/Öngörmek,We anticipate success.,Başarı bekliyoruz.
Anxiety,Kaygı/Endişe,He suffers from anxiety.,Kaygıdan muzdarip.
Anxious,Endişeli,I am anxious about the result.,Sonuç hakkında endişeliyim.
Apart,Ayrı,We live apart.,Ayrı yaşıyoruz.
Apologize,Özür dilemek,I apologize for the mistake.,Hata için özür dilerim.
Apparent,Bariz/Açık,It was apparent that she was sad.,Üzgün olduğu barizdi.
Appeal,Cezbetmek/Başvuru,This idea appeals to me.,Bu fikir beni cezbediyor.
Appear,Görünmek,He appears to be happy.,Mutlu görünüyor.
Application,Başvuru/Uygulama,Job application.,İş başvurusu.
Apply,Başvurmak/Uygulamak,Apply for a visa.,Vizeye başvur.
Appoint,Atamak,He was appointed as manager.,Müdür olarak atandı.
Appointment,Randevu,Doctor appointment.,Doktor randevusu.
Appreciate,Takdir etmek,I appreciate your help.,Yardımını takdir ediyorum.
Approach,Yaklaşmak/Yaklaşım,Winter is approaching.,Kış yaklaşıyor.
Appropriate,Uygun,Is this dress appropriate?,Bu elbise uygun mu?
Approval,Onay,Waiting for approval.,Onay bekleniyor.
Approve,Onaylamak,She didn't approve the plan.,Planı onaylamadı.
